1228 Leiber, Fritz
415 Corea, Vernon
1155 Hikmet, Nazim
835 Serling, Rod
316 Keeping, Charles
1284 Martin, Demetri
772 Aldrin, Buzz
1343 Landers, Ann
150 Fey, Tina
1046 Cameron, Julia
1310 Audette, Derek R.
645 Ford, Gerald
127 Benn, Tony
482 Miller, Bode
490 Nader, Ralph
1114 Baba, Meher
1487 Hibiki, Dan
1955 McKennitt, Loreena
1019 Valéry, Paul
563 Bryan, William Jennings
576 Rae, Pramod
386 Minow, Newton N.
11 Kellner, Friedrich
180 Andersen, Hans Christian
1372 Godard, Jean-Luc
1820 Bennett, William Andrew Cicil
1602 Ecclestone, Bernie
300 Flynt, Larry
578 Fox, Virgil
1868 Mead, Margaret
278 Richelieu, Cardinal
1683 Lucas, George
1121 Guevara, Ernesto 'Che'
194 Cobain, Kurt Donald
1900 Deutsch, David
594 Duff, Hilary
447 Charles V, Holy Roman Emperor
1421 Kruger, Barbara
1556 Clark, Ramsey
1637 Marley, Bob
1494 Burton, Sir Richard Francis
1417 Gay, John
766 Douglas, Kirk
1492 Bush, Kate
1867 London, Jack
394 Palahniuk, Chuck
1279 Brothers, Dr. Joyce
980 Adams, Samuel
1204 Desmond, Paul
1184 Kinski, Klaus
727 Heine, Heinrich
1727 Martial
1245 Martin, Steve
915 Laplace, Pierre-Simon
1604 Mecham, Evan
1218 Nailatikau, Adi Koila
1666 Martin, Paul
874 Spence, Gerry
1371 Gabor, Zsa Zsa
901 Hillel the Elder
434 Fischer, Bobby
146 Kronrod, Alexander
1816 Alba, Jessica
1386 Cato the Elder
30 Patañjali
1450 Booth, William
1785 Amis, Martin
1944 Gandhi, Mahatma
1227 Maharaji (Prem Rawat)
13 Hamilton, Alexander
253 Fétis, Joseph
6 Mulock, Dinah Maria; also Dinah Maria Craik
1595 Roosevelt, Eleanor
303 Burnett, Carol
1723 Adler, Alfred
1440 Daly, Carson
459 Shakespeare, William
1205 Sulla, Lucius Cornelius
1759 Koya, Sidiq
1045 Marconi, Guglielmo
533 Dickinson, Emily
1253 Eddington, Arthur Stanley
641 Winter, William
992 Bokini, Ratu Ovini
1828 James, Kevin
97 Berger, Ric
720 Kingsley, Charles
1496 Ruth, Babe
855 Foch, Ferdinand
659 Durbin, Richard
581 DeGeneres, Ellen
1590 Fuller, Margaret
1622 Rushton, Willie
1466 Chateaubriand, François-René de
723 Deng Xiaoping
862 Archimedes
1025 Wells, H. G. (Herbert George)
1012 Barlow, John Perry
99 Chaudhry, Mahendra
22 Cameron, Kirk
1538 Coolidge, Calvin
822 McClary, Susan
177 Payack, Paul JJ
416 Cohen, Nick
593 Piraten, Fritiof Nilsson
293 Hoffman, Abbie
934 Nuwas, Abu
283 Joan of Arc
1942 Szilard, Leo
264 Bruce, Lenny
682 Ciccone, Madonna
1320 Niven, Larry
1725 LeBlanc, Romeo
794 Kahlo, Frida
748 Fisher, Carrie
1128 Gardel, Carlos
543 Marie Antoinette
1649 Steinbeck, John
1777 Ford, Henry
843 Campbell, Beatrice Stella; (Mrs. Patrick Campbell)
341 Tocqueville, Alexis de
790 Peres, Shimon
1634 Berra, Yogi
1471 Ezrin, Bob
792 Dornfest, Rael
1007 Lardner, Ring
494 Groban, Josh
1013 Mao Zedong
530 Damon, Johnny
1895 Atatürk, Mustafa Kemal
470 Rimbaud, Arthur
